subject_name,course_title,course_url
Health & Medicine Courses,Epidemics - the Dynamics of Infectious Diseases,https://www.classcentral.com/course/epidemics-678
Health & Medicine Courses,Organ Donation: From Death to Life,https://www.classcentral.com/course/organ-donation-8708
Health & Medicine Courses,Becoming a Resilient Person: The Science of Stress Management and Promoting Wellbeing,https://www.classcentral.com/course/edx-becoming-a-resilient-person-the-science-of-stress-management-and-promoting-wellbeing-1927
Health & Medicine Courses,Nutrition and Health: Food Risks,https://www.classcentral.com/course/edx-nutrition-and-health-food-risks-5157
Health & Medicine Courses,Community Change in Public Health,https://www.classcentral.com/course/communitychange-397
Health & Medicine Courses,Food and Mood: Improving Mental Health Through Diet and Nutrition,https://www.classcentral.com/course/food-and-mood-17020
Health & Medicine Courses,Humanitarian communication : Addressing key challenges,https://www.classcentral.com/course/hacommunication-3509
Health & Medicine Courses,Digital Biomaterials,https://www.classcentral.com/course/edx-digital-biomaterials-18105
Health & Medicine Courses,Global Adolescent Health,https://www.classcentral.com/course/adolescenthealth-3333
Health & Medicine Courses,Introduction to Household Water Treatment and Safe Storage,https://www.classcentral.com/course/hwts-1721
Health & Medicine Courses,"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",https://www.classcentral.com/course/parasitology-3154
Health & Medicine Courses,Bacteria and Chronic Infections,https://www.classcentral.com/course/bacteria-3203
Health & Medicine Courses,社会调查与研究方法 （下）Methodologies in Social Research (Part 2),https://www.classcentral.com/course/methodologysocial2-2783
Health & Medicine Courses,Introduction to Dental Medicine,https://www.classcentral.com/course/dentmedpenn-2902
Health & Medicine Courses,EDIVET: Do you have what it takes to be a veterinarian?,https://www.classcentral.com/course/edivet-1675
Health & Medicine Courses,社会调查与研究方法 （上）Methodologies in Social Research (Part I),https://www.classcentral.com/course/methodologysocial-2387
Health & Medicine Courses,Chicken Behaviour and Welfare,https://www.classcentral.com/course/chickens-2937
Health & Medicine Courses,Drug Discovery,https://www.classcentral.com/course/drug-discovery-654
Health & Medicine Courses,Making Babies in the 21st Century,https://www.classcentral.com/course/making-babies-6015
Health & Medicine Courses,Seguridad agroalimentaria,https://www.classcentral.com/course/seguridad-alimentaria-6917
Health & Medicine Courses,Systems Thinking In Public Health,https://www.classcentral.com/course/systems-thinking-5723
Health & Medicine Courses,"Talking About Cancer: Reducing Risk, Early Detection and Mythbusting",https://www.classcentral.com/course/talking-about-cancer-5662
Health & Medicine Courses,Acute and Chronic Rhinosinusitis: A Comprehensive Review,https://www.classcentral.com/course/icahn-school-of-medicine-at-mount-sinai--5035
Health & Medicine Courses,Introduction to Breast Cancer,https://www.classcentral.com/course/breast-cancer-causes-prevention-6044
Social Sciences Courses,What is a Mind?,https://www.classcentral.com/course/what-is-a-mind-3314
Social Sciences Courses,HOPE: Human Odyssey to Political Existentialism,https://www.classcentral.com/course/edx-hope-human-odyssey-to-political-existentialism-11584
Social Sciences Courses,Model Thinking,https://www.classcentral.com/course/modelthinking-317
Social Sciences Courses,Gender and Sexuality: Applications in Society,https://www.classcentral.com/course/edx-gender-and-sexuality-applications-in-society-12333
Social Sciences Courses,Social Psychology,https://www.classcentral.com/course/socialpsychology-555
Social Sciences Courses,Justice,https://www.classcentral.com/course/edx-justice-610
Social Sciences Courses,AP® Microeconomics,https://www.classcentral.com/course/edx-ap-microeconomics-8630
Social Sciences Courses,Psychological First Aid,https://www.classcentral.com/course/psychfirstaid-2900
Social Sciences Courses,Positive Psychology,https://www.classcentral.com/course/positivepsych-2943
Social Sciences Courses,EU policy and implementation: making Europe work!,https://www.classcentral.com/course/eu-making-europe-work-7408
Social Sciences Courses,The Science of Happiness,https://www.classcentral.com/course/edx-the-science-of-happiness-1781
Social Sciences Courses,Terrorism and Counterterrorism: Comparing Theory and Practice,https://www.classcentral.com/course/terrorism-701
Social Sciences Courses,Protecting Business Innovations via Patent,https://www.classcentral.com/course/protect-business-innovations-patent-10382
Social Sciences Courses,Introduction to Psychology,https://www.classcentral.com/course/introduction-psych-647
Social Sciences Courses,Intro to Psychology,https://www.classcentral.com/course/udacity-intro-to-psychology-830
Social Sciences Courses,Protecting Business Innovations via Copyright,https://www.classcentral.com/course/protect-business-innovations-copyright-8733
Social Sciences Courses,Protecting Business Innovations via Trademark,https://www.classcentral.com/course/protect-business-innovations-trademark-10038
Social Sciences Courses,Green Business Strategy,https://www.classcentral.com/course/green-business-strategy-12644
Social Sciences Courses,Moral Foundations of Politics,https://www.classcentral.com/course/moral-politics-2986
Social Sciences Courses,Welcome to Game Theory,https://www.classcentral.com/course/welcomegametheory-2883
Social Sciences Courses,The Age of Sustainable Development,https://www.classcentral.com/course/susdev-1533
Social Sciences Courses,Constitutional Interpretation,https://www.classcentral.com/course/edx-constitutional-interpretation-13427
Social Sciences Courses,Game Theory,https://www.classcentral.com/course/game-theory-1-308
Computer Science Courses,Machine Learning,https://www.classcentral.com/course/machine-learning-835
Social Sciences Courses,The Psychology of Criminal Justice,https://www.classcentral.com/course/edx-the-psychology-of-criminal-justice-2021
Social Sciences Courses,Rethinking International Tax Law,https://www.classcentral.com/course/international-taxation-3286
Computer Science Courses,Elements of AI,https://www.classcentral.com/course/independent-elements-of-ai-12469
Computer Science Courses,Introduction to Computer Science and Programming Using Python,https://www.classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341
Computer Science Courses,CS50's Introduction to Computer Science,https://www.classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442
Computer Science Courses,Machine Learning for Musicians and Artists,https://www.classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768
Computer Science Courses,"Algorithms, Part I",https://www.classcentral.com/course/algs4partI-339
Computer Science Courses,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.classcentral.com/course/algorithms-divide-conquer-374
Social Sciences Courses,Chinese Politics Part 1 – China and Political Science,https://www.classcentral.com/course/chinesepolitics1-3790
Social Sciences Courses,Introduction to Human Behavioral Genetics,https://www.classcentral.com/course/behavioralgenetics-1765
Social Sciences Courses,Game Theory II: Advanced Applications,https://www.classcentral.com/course/gametheory2-1469
Social Sciences Courses,Protecting Health Data in the Modern Age: Getting to Grips with the GDPR,https://www.classcentral.com/course/protecting-health-data-10612
Social Sciences Courses,Psychology of Popularity,https://www.classcentral.com/course/popularity-3541
Computer Science Courses,Cryptography I,https://www.classcentral.com/course/crypto-616
Computer Science Courses,Functional Programming Principles in Scala,https://www.classcentral.com/course/progfun-422
Computer Science Courses,"Internet History, Technology, and Security",https://www.classcentral.com/course/insidetheinternet-335
Computer Science Courses,Introduction to Linux,https://www.classcentral.com/course/edx-introduction-to-linux-1857
Computer Science Courses,Principles of Computing (Part 1),https://www.classcentral.com/course/principlescomputing1-1724
Social Sciences Courses,Classical Sociological Theory,https://www.classcentral.com/course/classical-sociological-theory-4298
Social Sciences Courses,Forensic Psychology: Witness Investigation,https://www.classcentral.com/course/forensic-psychology-1935
Social Sciences Courses,Paradoxes of War,https://www.classcentral.com/course/warparadoxes-1361
Social Sciences Courses,Understanding Research Methods,https://www.classcentral.com/course/researchmethods-1767
Social Sciences Courses,Copyright for Educators (K-12/HE),https://www.classcentral.com/course/canvas-network-copyright-for-educators-k-12-he-7744
Computer Science Courses,Software Security,https://www.classcentral.com/course/software-security-1728
Computer Science Courses,CS188.1x: Artificial Intelligence,https://www.classcentral.com/course/edx-cs188-1x-artificial-intelligence-445
Computer Science Courses,Unlocking Information Security: Part Ⅰ,https://www.classcentral.com/course/edx-unlocking-information-security-part-16964
Computer Science Courses,Fundamentos TIC para profesionales de negocios: Hardware,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086
